32 -16
12 19
17 -28
-28 21
22 3
-9 32
2 3
-18 -9
32 -4
-8 -25
-12 -28
12 3
2 -17
-18 12
-21 -28
-22 32
22 0
2 -21
22 6
31 -8
27 -8
-28 -21
9 -28
32 26
-18 -19
-8 10
25 12
32 9
32 -21
2 18
24 12
-19 -8
22 -16
-28 0
-8 17
32 13
-28 9
32 -7
-28 -15
-23 32
-8 7
2 9
12 -15
-28 -14
32 31
9 32
15 12
15 -28
5 12
-8 3
-8 26
32 18
-26 12
22 2
-28 -22
-28 31
22 18
12 -13
2 5
2 -12
28 -8
-13 32
-28 12
5 32
32 20
14 -8
-28 7
-28 -26
-21 12
32 7
-28 -28
32 -1
-7 -8
20 12
30 -28
12 29
12 4
-15 32
-8 -8
1 -8
2 -6
12 -20
32 -2
-18 -21
-28 29
-28 2
-17 -8
2 -23
12 -12
12 10
12 7
32 24
2 -28
-28 -5
-21 -8
-20 -8
-9 12
-18 24
-8 6
-8 31
0 12
32 6
-18 -8
22 -3
21 12
-8 24
3 -8
22 26
-28 11
-28 4
-28 14
-8 14
2 2
18 12
22 19
22 31
12 30
32 15
22 -11
-8 -23
-8 -18
32 32
-28 -19
-18 6
-28 -24
21 32
-18 13
-28 17
-1 -28
-28 -20
22 -12
-28 23
2 12
-13 -28
23 12
-8 -7
28 32
2 22
4 12
22 -1
-8 5
12 6
31 -28
32 -19
-28 -8
-18 -7
-28 6
12 1
30 -8
30 12
12 18
-24 -28
5 -8
22 -19
-18 19
22 -10
-18 1
-26 -8
-8 -22
-18 27
-18 -20
12 22
3 -28
3 32
17 12
12 12
12 -11
2 -20
-12 12
25 32
12 -24
2 32
-8 -4
2 6
22 -15
0 -8
-27 32
-28 -7
-27 -28
-23 12
12 -21
2 14
-18 -28
7 -8
-18 32
-28 -1
12 -14
-12 32
-13 12
26 32
2 25
14 32
-8 18
12 26
32 -13
-28 -16
-23 -28
32 -25
32 30
-4 -8
-5 12
22 16
2 -11
-28 -27
24 -8
-28 19
32 -23
12 -3
32 19
32 -8
22 28
2 16
12 -5
-18 -25
-8 23
-28 -25
12 -8
2 11
23 -28
-8 -20
-18 -1
22 -18
12 23
-8 4
12 -26
-18 29
22 -2
2 -16
-7 32
22 27
-18 14
22 8
12 15
-20 32
-16 12
2 -25
4 -28
32 -15
32 11
28 12
2 -13
-18 -4
2 17
-18 -2
-16 -8
-18 2
7 12
-24 32
-18 23
27 12
-14 32
-24 -8
2 -27
32 -5
22 14
22 -28
-11 32
26 -8
22 -26
22 -14
2 19
-2 12
-28 20
12 16
14 12
13 32
12 9
-10 12
32 1
-8 13
-8 -5
-18 22
32 -6
2 -9
-8 28
22 20
-28 8
-6 -28
-18 -13
32 -14
12 2
-8 -6
-7 -28
32 -24
-8 -26
22 -21
2 -8
29 32
10 -28
2 -26
22 -17
-8 9
2 -5
-28 30
12 -27
-28 24
27 -28
8 -28
2 1
-28 13
-18 -17
19 12
13 -8
-8 -27
32 5
32 4
-9 -28
-28 27
2 8
-5 -28
32 29
-18 0
-18 21
-28 -10
-28 15
32 -26
-12 -8
31 12
2 23
22 13
-4 12
22 -8
-28 -11
-25 -8
-18 9
2 26
22 1
-7 12
18 -28
22 -13
-2 -8
16 32
-18 -22
11 -8
22 -23
2 27
14 -28
22 24
2 -22
-22 -8
12 -2
-8 -2
23 32
10 12
12 25
12 -6
-6 12
-28 -3
12 -25
11 12
-18 3
-8 22
20 -28
-8 -19
22 12
-18 -14
32 -28
-11 -8
16 12
-25 12
12 -4
-8 -11
-8 -9
