-3 -28
-23 -28
12 -20
-8 15
1 -28
2 22
2 26
22 7
22 5
22 -14
12 5
22 -10
-18 21
-18 11
2 -5
12 11
32 -17
32 -15
12 4
-28 -1
-8 13
22 18
12 -5
12 16
12 -10
32 -8
2 3
-28 24
2 -24
32 22
32 14
-2 -28
-18 0
-8 -10
-18 22
-8 29
32 31
12 28
-1 -28
-8 -21
-8 1
-8 21
-8 -23
15 -28
-8 24
9 32
-28 9
-8 26
24 32
2 -21
-18 -28
2 -26
-28 -26
22 8
-18 1
-28 23
2 24
22 11
32 -4
-28 12
2 -22
-28 -25
22 23
22 -17
17 -28
-18 -6
-18 -8
-28 -5
2 -13
32 17
22 19
-28 28
-18 14
-28 -15
-18 18
-8 0
12 17
-18 24
22 -22
-18 -23
22 -27
32 12
32 25
22 -13
32 -11
12 -16
22 -6
32 -16
-18 17
12 30
2 -11
-8 3
25 32
-18 -12
12 -12
22 -18
-18 -10
2 -18
20 -28
12 -25
22 20
12 -27
-28 -21
32 -24
-8 31
-8 2
2 -6
12 32
32 9
-18 5
32 11
12 13
2 -19
-8 -16
12 15
-10 32
2 18
2 -28
22 -5
2 -16
-28 -22
-18 -25
-28 -16
-24 -28
-18 32
-28 4
2 0
-18 -2
-18 23
12 -13
32 -1
22 -9
2 30
32 7
11 32
22 29
-18 -16
-8 -22
2 -1
-18 27
22 15
-28 0
12 0
21 -28
-28 -19
-8 -3
32 -3
32 -28
-28 15
-20 -28
32 -21
22 -19
2 -7
-8 -24
-28 27
2 17
2 6
-8 -5
2 16
-8 -20
-28 16
-18 -21
12 -7
32 -18
2 11
-28 1
-27 -28
-8 5
-8 -8
-18 -17
-18 30
-28 22
2 13
12 25
32 32
12 -1
-8 -18
2 9
-28 31
2 21
-28 -17
28 32
2 -25
12 18
32 10
2 -14
32 15
2 -9
32 -5
-8 17
22 31
-18 -13
-8 4
12 12
22 12
-22 -28
22 -21
32 -19
32 18
-28 21
-16 32
-9 32
32 -25
-18 -22
-28 30
22 -23
12 -17
22 -20
12 19
-18 15
-8 -14
-28 10
32 -6
32 5
-18 28
-28 3
-8 -25
-8 28
2 -10
5 32
-8 18
2 10
-18 10
32 -9
22 24
-13 32
-28 -11
2 14
-11 32
-8 19
12 24
2 -27
2 4
32 16
22 4
2 5
-7 -28
-17 32
12 21
6 32
-8 -27
22 0
32 2
-28 -14
-18 16
-8 14
-25 -28
-21 -28
-18 -18
-18 -19
-12 32
12 -18
-28 29
-28 6
32 0
-8 9
32 -14
-18 -26
0 -28
-18 25
2 -4
-8 7
-8 20
12 3
2 20
-15 32
-18 -7
-28 -9
32 30
32 -7
31 32
-8 10
32 -10
12 14
2 -20
-18 19
22 27
22 10
12 29
12 -11
22 30
-8 -17
-28 32
32 -22
-18 13
2 31
12 -6
-14 32
2 15
-28 26
-28 -13
32 -12
12 -19
32 -13
-28 -28
-28 -8
-28 -18
12 -28
32 3
-28 -6
22 -15
-19 -28
18 -28
-8 -11
2 19
-28 -24
32 8
32 -27
12 -14
12 9
12 10
-18 6
22 -7
-26 -28
-8 8
2 7
-8 30
2 1
22 -12
-8 -7
-28 -10
22 13
-28 18
-28 -12
-28 7
22 -24
-8 -4
2 -2
22 25
4 32
-8 -13
-18 3
-8 -1
-18 8
-28 -7
-28 19
22 -25
-8 25
22 -3
-8 11
12 -22
32 29
22 22
32 28
-8 27
-18 -5
-8 -2
22 1
-18 4
32 13
2 12
12 7
-28 5
32 -20
22 16
-18 -15
22 14
2 2
22 -1
22 2
32 27
22 -8
-18 9
29 32
-28 -3
-18 -20
-8 23
2 28
19 -28
-18 -14
-18 2
12 27
32 21
32 23
-28 -20
12 22
-28 25
22 -26
-28 8
-28 2
-8 -28
12 -9
12 26
12 -8
-28 -27
-8 -9
12 -4
22 -28
13 -28
2 8
22 -16
22 26
14 -28
-18 12
2 29
12 -15
-8 16
22 17
12 31
-28 13
12 20
8 32
2 -12
2 -17
12 6
-28 20
-8 -26
12 -23
-18 -24
32 6
-28 -4
-4 -28
12 -3
2 -15
-18 7
22 21
-8 -15
10 32
22 -4
32 26
2 27
-18 -1
22 6
2 23
26 32
22 28
-18 -11
2 -23
2 25
12 -21
32 4
-8 12
32 1
12 -26
27 32
-18 -3
-8 6
32 -26
22 9
-18 -27
12 1
-8 -6
12 -24
-18 26
-18 -9
-8 22
23 32
-28 -23
-18 -4
32 -2
32 24
32 20
-8 32
-8 -19
-28 14
-5 -28
7 32
-8 -12
22 32
-28 -2
-28 11
32 19
22 -11
22 -2
-18 20
12 2
2 -8
16 -28
22 3
3 32
12 8
-6 -28
-18 31
32 -23
12 -2
2 32
12 23
-28 17
2 -3
30 32
-18 29
